,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
10976,tt3859076,movie,Truth,2015,125,"Biography,Drama,History",6.8,20302
10977,tt3859272,movie,Tragedy Girls,2017,98,"Comedy,Crime,Horror",6.0,10504
10978,tt3859304,movie,The Bronze,2015,100,"Comedy,Drama,Sport",6.1,12770
10979,tt3859310,movie,How to Talk to Girls at Parties,2017,102,"Comedy,Music,Romance",5.7,11363
10980,tt3859980,movie,Mohenjo Daro,2016,155,"Action,Adventure,Drama",5.6,11952
10981,tt3860916,movie,Cargo,2017,105,"Drama,Horror,Sci-Fi",6.3,44022
10982,tt3861390,movie,Dumbo,2019,112,"Adventure,Family,Fantasy",6.3,76291
10983,tt3862750,movie,The Perfect Guy,2015,100,"Drama,Romance,Thriller",5.6,10808
10984,tt3863552,movie,Bajrangi Bhaijaan,2015,163,"Action,Adventure,Comedy",8.1,88450
10985,tt3864056,movie,The Goldfinch,2019,149,Drama,6.3,23578
10998,tt3874544,movie,The Boss Baby,2017,97,"Adventure,Animation,Comedy",6.3,127398
11001,tt3877674,movie,Men & Chicken,2015,104,"Comedy,Drama,Mystery",6.7,13219
11003,tt3881784,movie,Stronger,2017,119,"Biography,Drama",6.9,45557
11004,tt3882082,movie,The Boy,2016,97,"Horror,Mystery,Thriller",6.0,93185
11006,tt3890160,movie,Baby Driver,2017,113,"Action,Crime,Drama",7.6,533239
11007,tt3892172,movie,Leave No Trace,2018,109,"Adventure,Drama",7.1,60102
11008,tt3892434,movie,That Sugar Film,2014,90,Documentary,7.4,10268
11014,tt3896198,movie,Guardians of the Galaxy Vol. 2,2017,136,"Action,Adventure,Comedy",7.6,675603
11015,tt3896738,movie,Hounds of Love,2016,108,"Crime,Drama,Horror",6.5,12222
11017,tt3901826,movie,The Breadwinner,2017,94,"Animation,Drama,Family",7.7,25706
11018,tt3906082,movie,Mary Shelley,2017,120,"Biography,Drama,History",6.4,16063
11020,tt3907584,movie,All the Bright Places,2020,107,"Drama,Romance",6.5,31953
11021,tt3908142,movie,The Love Witch,2016,120,"Comedy,Horror,Romance",6.2,16726
11027,tt3921314,movie,Muhammad: The Messenger of God,2015,162,"Biography,Drama,History",7.3,11037
11028,tt3922798,movie,The Siege of Jadotville,2016,108,"Action,Drama,History",7.2,40235
11029,tt3922818,movie,The Space Between Us,2017,120,"Drama,Romance,Sci-Fi",6.4,53338
11030,tt3949660,movie,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,112,"Action,Adventure,Comedy",5.9,93638
11032,tt3960412,movie,Popstar: Never Stop Never Stopping,2016,87,"Comedy,Drama,Musical",6.7,62284
11033,tt3963816,movie,Marauders,2016,107,"Action,Crime,Thriller",5.5,22662
